split,image_file,label_file,bad_lines,total_lines
train,092902_leftImg8bit_png.rf.6712d0192ece8956c0cf913741989799.jpg,092902_leftImg8bit_png.rf.6712d0192ece8956c0cf913741989799.txt,1,5
train,119161_leftImg8bit_png.rf.6ca233a16e16a92323ec9e467874630b.jpg,119161_leftImg8bit_png.rf.6ca233a16e16a92323ec9e467874630b.txt,1,4
train,134136_leftImg8bit_png.rf.c0c045d3aced8384c78007b1f1f87759.jpg,134136_leftImg8bit_png.rf.c0c045d3aced8384c78007b1f1f87759.txt,1,3
train,165386_leftImg8bit_png.rf.53de3d29fa37901e79a3ff515dfa39ad.jpg,165386_leftImg8bit_png.rf.53de3d29fa37901e79a3ff515dfa39ad.txt,1,4
train,174008_leftImg8bit_png.rf.281653bbaed9afe4cdace4fc78363c1c.jpg,174008_leftImg8bit_png.rf.281653bbaed9afe4cdace4fc78363c1c.txt,1,4
train,194242_leftImg8bit_png.rf.95f27e86087b21d442f6b5a19369ca2a.jpg,194242_leftImg8bit_png.rf.95f27e86087b21d442f6b5a19369ca2a.txt,1,3
train,196692_leftImg8bit_png.rf.986340205b7395cbec180d062dfa8b07.jpg,196692_leftImg8bit_png.rf.986340205b7395cbec180d062dfa8b07.txt,1,3
train,216133_leftImg8bit_png.rf.77391983e45da968de5e4848f984601e.jpg,216133_leftImg8bit_png.rf.77391983e45da968de5e4848f984601e.txt,1,4
train,238014_leftImg8bit_png.rf.baebfcbbfb4767c7ea4c4cdee9cae007.jpg,238014_leftImg8bit_png.rf.baebfcbbfb4767c7ea4c4cdee9cae007.txt,1,3
train,252004_leftImg8bit_png.rf.a6e73db09d2a81b0b849433d5e5c994f.jpg,252004_leftImg8bit_png.rf.a6e73db09d2a81b0b849433d5e5c994f.txt,1,4
train,259394_leftImg8bit_png.rf.e8afae5d1369b6c42badc2b55c8c6ec5.jpg,259394_leftImg8bit_png.rf.e8afae5d1369b6c42badc2b55c8c6ec5.txt,1,4
train,313639_leftImg8bit_png.rf.cdd6a38c2585d87369c8d7f609037d71.jpg,313639_leftImg8bit_png.rf.cdd6a38c2585d87369c8d7f609037d71.txt,1,1
train,318691_leftImg8bit_png.rf.7344bc0daf7e77da545903091b706008.jpg,318691_leftImg8bit_png.rf.7344bc0daf7e77da545903091b706008.txt,1,2
train,325435_leftImg8bit_png.rf.dac90ef019e6f4c6b291b26df71005fd.jpg,325435_leftImg8bit_png.rf.dac90ef019e6f4c6b291b26df71005fd.txt,1,3
train,363565_leftImg8bit_png.rf.91f4f746b600c191e280cf7881baba70.jpg,363565_leftImg8bit_png.rf.91f4f746b600c191e280cf7881baba70.txt,1,4
train,391090_leftImg8bit_png.rf.fb0be2682acb813f1aac885997eda46c.jpg,391090_leftImg8bit_png.rf.fb0be2682acb813f1aac885997eda46c.txt,1,2
train,435070_leftImg8bit_png.rf.5edc4caedd0479d0014425c4b6f56f82.jpg,435070_leftImg8bit_png.rf.5edc4caedd0479d0014425c4b6f56f82.txt,1,3
train,463476_leftImg8bit_png.rf.31dc1492caa486aaf11144e10208a902.jpg,463476_leftImg8bit_png.rf.31dc1492caa486aaf11144e10208a902.txt,1,3
train,469167_leftImg8bit_png.rf.7da681f126ead6ba24ca9376462a43a5.jpg,469167_leftImg8bit_png.rf.7da681f126ead6ba24ca9376462a43a5.txt,1,5
train,507728_leftImg8bit_png.rf.06eabb71cbd5d2c4a21c7fbefaa15172.jpg,507728_leftImg8bit_png.rf.06eabb71cbd5d2c4a21c7fbefaa15172.txt,1,2
train,565923_leftImg8bit_png.rf.f3c4a8ee8c5d6dd35f77c0372e4e85de.jpg,565923_leftImg8bit_png.rf.f3c4a8ee8c5d6dd35f77c0372e4e85de.txt,1,3
train,594707_leftImg8bit_png.rf.7af7d7c5cd45cd6488929423aff3bf12.jpg,594707_leftImg8bit_png.rf.7af7d7c5cd45cd6488929423aff3bf12.txt,1,3
train,595077_leftImg8bit_png.rf.e7c58dee866ff8cf50362aec2b0a6234.jpg,595077_leftImg8bit_png.rf.e7c58dee866ff8cf50362aec2b0a6234.txt,1,3
train,636189_leftImg8bit_png.rf.d5c3b1e4cd60c611f77deea292f33848.jpg,636189_leftImg8bit_png.rf.d5c3b1e4cd60c611f77deea292f33848.txt,1,6
train,637197_leftImg8bit_png.rf.b74df28827a38e6d16453702671deacf.jpg,637197_leftImg8bit_png.rf.b74df28827a38e6d16453702671deacf.txt,1,1
train,658906_leftImg8bit_png.rf.b752260d48227177ab7e546def4df6e5.jpg,658906_leftImg8bit_png.rf.b752260d48227177ab7e546def4df6e5.txt,1,2
train,665389_leftImg8bit_png.rf.840337fee7bd1fbeef662db0d15fc9f0.jpg,665389_leftImg8bit_png.rf.840337fee7bd1fbeef662db0d15fc9f0.txt,1,6
train,667655_leftImg8bit_png.rf.75fd2ecdb13ccff59eeb0be8f7b1729f.jpg,667655_leftImg8bit_png.rf.75fd2ecdb13ccff59eeb0be8f7b1729f.txt,1,4
train,770605_leftImg8bit_png.rf.43a3561cf603f13ed6edf9707e526d2d.jpg,770605_leftImg8bit_png.rf.43a3561cf603f13ed6edf9707e526d2d.txt,1,2
train,787523_leftImg8bit_png.rf.c94c4e416b171e8487b1cf6e872dbe2d.jpg,787523_leftImg8bit_png.rf.c94c4e416b171e8487b1cf6e872dbe2d.txt,1,8
train,837554_leftImg8bit_png.rf.0913d16c5de2db146718003dd4470e37.jpg,837554_leftImg8bit_png.rf.0913d16c5de2db146718003dd4470e37.txt,1,8
train,840914_leftImg8bit_png.rf.f5a4551d97c4fccfcdff05dfbebb5697.jpg,840914_leftImg8bit_png.rf.f5a4551d97c4fccfcdff05dfbebb5697.txt,1,3
train,850080_leftImg8bit_png.rf.48a4aeeeecfdc8674117382cff0d4323.jpg,850080_leftImg8bit_png.rf.48a4aeeeecfdc8674117382cff0d4323.txt,1,2
train,859860_leftImg8bit_png.rf.366fc75e0c18179b8097d047541f4fef.jpg,859860_leftImg8bit_png.rf.366fc75e0c18179b8097d047541f4fef.txt,1,6
train,867867_leftImg8bit_png.rf.ab3aa629579ced7a59998b047d930919.jpg,867867_leftImg8bit_png.rf.ab3aa629579ced7a59998b047d930919.txt,1,1
train,891709_leftImg8bit_png.rf.eab78e94c85901d86f7e167e9b3592a6.jpg,891709_leftImg8bit_png.rf.eab78e94c85901d86f7e167e9b3592a6.txt,1,1
train,921129_leftImg8bit_png.rf.c7ce10565606c7eec95cdd948a1f89b4.jpg,921129_leftImg8bit_png.rf.c7ce10565606c7eec95cdd948a1f89b4.txt,1,1
train,MP_SEL_B027521_jpg.rf.0635eaecd4c22b625fe49d00c86cdea7.jpg,MP_SEL_B027521_jpg.rf.0635eaecd4c22b625fe49d00c86cdea7.txt,1,3
train,MP_SEL_B027533_jpg.rf.8610721e428eea04a645a6c57a726a7c.jpg,MP_SEL_B027533_jpg.rf.8610721e428eea04a645a6c57a726a7c.txt,1,1
train,MP_SEL_B027562_jpg.rf.0dfb2dd0df54066af0271f7c101e2b14.jpg,MP_SEL_B027562_jpg.rf.0dfb2dd0df54066af0271f7c101e2b14.txt,1,1
train,MP_SEL_B027588_jpg.rf.55781ef0a0e267c79be22cfb0b528979.jpg,MP_SEL_B027588_jpg.rf.55781ef0a0e267c79be22cfb0b528979.txt,1,1
train,MP_SEL_B027593_jpg.rf.f7ce0dacb44147667f9958242fdb1d05.jpg,MP_SEL_B027593_jpg.rf.f7ce0dacb44147667f9958242fdb1d05.txt,1,1
train,MP_SEL_B027598_jpg.rf.acfd57b13654054e5d3e4688ffd5398b.jpg,MP_SEL_B027598_jpg.rf.acfd57b13654054e5d3e4688ffd5398b.txt,1,1
train,MP_SEL_B027617_jpg.rf.05b0f9abc30ea375b3f047018039b534.jpg,MP_SEL_B027617_jpg.rf.05b0f9abc30ea375b3f047018039b534.txt,1,3
train,MP_SEL_B027630_jpg.rf.fe33668d36a5e79c308f8b8f3d2655d6.jpg,MP_SEL_B027630_jpg.rf.fe33668d36a5e79c308f8b8f3d2655d6.txt,1,2
train,MP_SEL_B027634_jpg.rf.fa73058f954a8707a2c35e2e216b21e7.jpg,MP_SEL_B027634_jpg.rf.fa73058f954a8707a2c35e2e216b21e7.txt,1,1
train,MP_SEL_B027684_jpg.rf.72b7ce331348cafc76b67f2e2766c1f6.jpg,MP_SEL_B027684_jpg.rf.72b7ce331348cafc76b67f2e2766c1f6.txt,1,1
train,MP_SEL_B027716_jpg.rf.3ee36a5eaf18f1a07228c963ad43bbf6.jpg,MP_SEL_B027716_jpg.rf.3ee36a5eaf18f1a07228c963ad43bbf6.txt,1,4
train,MP_SEL_B027716_jpg.rf.a0f943e8eda83a9f4499c86feeae431d.jpg,MP_SEL_B027716_jpg.rf.a0f943e8eda83a9f4499c86feeae431d.txt,1,1
train,MP_SEL_B027735_jpg.rf.d04f8a65f10c39ed54e78cf52a7e7cc7.jpg,MP_SEL_B027735_jpg.rf.d04f8a65f10c39ed54e78cf52a7e7cc7.txt,1,1
train,WhatsApp-Image-2024-05-04-at-6-31-13-PM_jpeg.rf.944db4e5efe545524bf786032b62558a.jpg,WhatsApp-Image-2024-05-04-at-6-31-13-PM_jpeg.rf.944db4e5efe545524bf786032b62558a.txt,1,2
train,WhatsApp-Image-2024-05-04-at-6-34-40-PM_jpeg.rf.e7e304cc9722e4489282f91d953035ef.jpg,WhatsApp-Image-2024-05-04-at-6-34-40-PM_jpeg.rf.e7e304cc9722e4489282f91d953035ef.txt,1,1
train,WhatsApp-Image-2024-07-31-at-2-52-16-PM_jpeg.rf.84416cb8df87c5bb913f3e283d021f2c.jpg,WhatsApp-Image-2024-07-31-at-2-52-16-PM_jpeg.rf.84416cb8df87c5bb913f3e283d021f2c.txt,1,1
train,WhatsApp-Image-2024-07-31-at-2-52-32-PM_jpeg.rf.f6538bb967359b00c6efdd01fbd5706c.jpg,WhatsApp-Image-2024-07-31-at-2-52-32-PM_jpeg.rf.f6538bb967359b00c6efdd01fbd5706c.txt,1,1
train,WhatsApp-Image-2024-07-31-at-2-57-15-PM-1-_jpeg.rf.9391a747fae284db44e2fb5ae0f494b1.jpg,WhatsApp-Image-2024-07-31-at-2-57-15-PM-1-_jpeg.rf.9391a747fae284db44e2fb5ae0f494b1.txt,1,5
train,WhatsApp-Image-2024-07-31-at-2-57-16-PM-1-_jpeg.rf.cb9b876091ed300dbdf6668f7a02f5f2.jpg,WhatsApp-Image-2024-07-31-at-2-57-16-PM-1-_jpeg.rf.cb9b876091ed300dbdf6668f7a02f5f2.txt,1,5
train,WhatsApp-Image-2024-07-31-at-2-57-16-PM-2-_jpeg.rf.7cb71a71fbb4dd3a482f2ba22d67cd4a.jpg,WhatsApp-Image-2024-07-31-at-2-57-16-PM-2-_jpeg.rf.7cb71a71fbb4dd3a482f2ba22d67cd4a.txt,1,5
train,WhatsApp-Image-2024-07-31-at-2-57-17-PM-1-_jpeg.rf.406220190b7fb513b7c5ff640c2c08ad.jpg,WhatsApp-Image-2024-07-31-at-2-57-17-PM-1-_jpeg.rf.406220190b7fb513b7c5ff640c2c08ad.txt,1,3
train,WhatsApp-Image-2024-07-31-at-2-57-18-PM_jpeg.rf.9412653d33bc7d7a9a56e1c828e22f12.jpg,WhatsApp-Image-2024-07-31-at-2-57-18-PM_jpeg.rf.9412653d33bc7d7a9a56e1c828e22f12.txt,1,5
train,download-14-_jpg.rf.5be3d43f6d00ae3cfd9ad0b3f53b4a1f.jpg,download-14-_jpg.rf.5be3d43f6d00ae3cfd9ad0b3f53b4a1f.txt,1,7
train,download-15-_jpg.rf.432968d9256364534c8ffc1395b9f1f0.jpg,download-15-_jpg.rf.432968d9256364534c8ffc1395b9f1f0.txt,1,3
train,download-16-_jpg.rf.3f0763ab4c1cd22ef4a02b77623dcedb.jpg,download-16-_jpg.rf.3f0763ab4c1cd22ef4a02b77623dcedb.txt,1,4
train,download-17-_jpg.rf.a1a98a087e6bed08ad577fbd93ac4b92.jpg,download-17-_jpg.rf.a1a98a087e6bed08ad577fbd93ac4b92.txt,1,1
train,download-7-_jpg.rf.f0af1f6d82b7afc7e55ced5f873cb971.jpg,download-7-_jpg.rf.f0af1f6d82b7afc7e55ced5f873cb971.txt,1,3
train,gambar-180-_jpg.rf.136f46c49e76f2d34786ea409390f803.jpg,gambar-180-_jpg.rf.136f46c49e76f2d34786ea409390f803.txt,1,1
train,gambar-181-_jpg.rf.4686db6f4a7e69aae38c05b87f687668.jpg,gambar-181-_jpg.rf.4686db6f4a7e69aae38c05b87f687668.txt,1,1
train,gambar-182-_jpg.rf.8b6db84de682effaf2d3e5b8e35620b0.jpg,gambar-182-_jpg.rf.8b6db84de682effaf2d3e5b8e35620b0.txt,1,1
train,gambar-212-_jpg.rf.050169bb88e0e5eda144495d9ab809cc.jpg,gambar-212-_jpg.rf.050169bb88e0e5eda144495d9ab809cc.txt,1,1
train,gambar-243-_jpg.rf.1bb18d77f1d7c6fdcc7cc2103b0a6ffc.jpg,gambar-243-_jpg.rf.1bb18d77f1d7c6fdcc7cc2103b0a6ffc.txt,1,1
train,gambar-244-_jpg.rf.cbada234411b4a9a9215bce8810f0b5d.jpg,gambar-244-_jpg.rf.cbada234411b4a9a9215bce8810f0b5d.txt,1,1
train,gambar-276-_jpg.rf.6f11c27251b00d4f7ab1dc807e74e1d3.jpg,gambar-276-_jpg.rf.6f11c27251b00d4f7ab1dc807e74e1d3.txt,1,1
train,gambar-278-_jpg.rf.1d27e0972f0e90692a63fa6f658cf26d.jpg,gambar-278-_jpg.rf.1d27e0972f0e90692a63fa6f658cf26d.txt,1,1
train,gambar-480-_jpg.rf.76651be407d4e430ae1eea9fd928e7c2.jpg,gambar-480-_jpg.rf.76651be407d4e430ae1eea9fd928e7c2.txt,1,1
train,gambar-481-_jpg.rf.2a2076d525f1793ad5908b77ae52329d.jpg,gambar-481-_jpg.rf.2a2076d525f1793ad5908b77ae52329d.txt,1,1
train,gambar-606-_jpg.rf.11fe0afc12009dc5cb258c9de5ef4959.jpg,gambar-606-_jpg.rf.11fe0afc12009dc5cb258c9de5ef4959.txt,1,1
train,gambar-608-_jpg.rf.cdcac80e00d15ba7cba1a386b0c844f0.jpg,gambar-608-_jpg.rf.cdcac80e00d15ba7cba1a386b0c844f0.txt,1,1
train,gambar-610-_jpg.rf.9ee2a16361545c299ef928cde6813d7d.jpg,gambar-610-_jpg.rf.9ee2a16361545c299ef928cde6813d7d.txt,1,1
train,gambar-850-_jpg.rf.f7db886b758ceb146e0487c6c300e31d.jpg,gambar-850-_jpg.rf.f7db886b758ceb146e0487c6c300e31d.txt,1,1
train,images-25-_jpg.rf.0459349dd0484923dfd2714b8cfef82b.jpg,images-25-_jpg.rf.0459349dd0484923dfd2714b8cfef82b.txt,1,1
train,images-27-_jpg.rf.b156dc8b7cfd50f572c64f3941546ea2.jpg,images-27-_jpg.rf.b156dc8b7cfd50f572c64f3941546ea2.txt,1,1
train,images-28-_jpg.rf.e1b7201a94f38f4260bf63f72c99047d.jpg,images-28-_jpg.rf.e1b7201a94f38f4260bf63f72c99047d.txt,1,3
valid,005671_leftImg8bit_png.rf.af8e4efd7aa9f2a0f9c13708d5155584.jpg,005671_leftImg8bit_png.rf.af8e4efd7aa9f2a0f9c13708d5155584.txt,1,2
valid,005700_leftImg8bit_png.rf.9a9e6c9c0dff2fbbe2580bdf1b3a8d62.jpg,005700_leftImg8bit_png.rf.9a9e6c9c0dff2fbbe2580bdf1b3a8d62.txt,1,2
valid,009944_leftImg8bit_png.rf.332f836985cc7c81592204d92ce4215f.jpg,009944_leftImg8bit_png.rf.332f836985cc7c81592204d92ce4215f.txt,1,2
valid,076063_leftImg8bit_png.rf.4654505635a4ed0f556b7bc9c491c627.jpg,076063_leftImg8bit_png.rf.4654505635a4ed0f556b7bc9c491c627.txt,1,2
valid,154041_leftImg8bit_png.rf.7bc79a440c7b0e0cacd803b2314cbeda.jpg,154041_leftImg8bit_png.rf.7bc79a440c7b0e0cacd803b2314cbeda.txt,1,3
valid,396198_leftImg8bit_png.rf.d9d3127126cac1a8d3c31425a25f5d33.jpg,396198_leftImg8bit_png.rf.d9d3127126cac1a8d3c31425a25f5d33.txt,1,4
valid,461266_leftImg8bit_png.rf.d21fc2282085879e05631920b8b4277b.jpg,461266_leftImg8bit_png.rf.d21fc2282085879e05631920b8b4277b.txt,1,4
valid,463081_leftImg8bit_png.rf.39177cb41a3a92c09b923d2f6bc02681.jpg,463081_leftImg8bit_png.rf.39177cb41a3a92c09b923d2f6bc02681.txt,1,3
valid,479507_leftImg8bit_png.rf.b5da3ab5d6e10529d2f8fc89b19c1715.jpg,479507_leftImg8bit_png.rf.b5da3ab5d6e10529d2f8fc89b19c1715.txt,1,1
valid,528304_leftImg8bit_png.rf.e6de185142a9df412d211754c5a4c7d2.jpg,528304_leftImg8bit_png.rf.e6de185142a9df412d211754c5a4c7d2.txt,1,3
valid,794860_leftImg8bit_png.rf.996dc539d6422d450d97d7bb0d315f7c.jpg,794860_leftImg8bit_png.rf.996dc539d6422d450d97d7bb0d315f7c.txt,1,4
valid,WhatsApp-Image-2024-05-04-at-3-39-02-PM_jpeg.rf.7750a646608e427f5192ccbfd32dcf66.jpg,WhatsApp-Image-2024-05-04-at-3-39-02-PM_jpeg.rf.7750a646608e427f5192ccbfd32dcf66.txt,1,1
valid,WhatsApp-Image-2024-05-04-at-6-00-50-PM_jpeg.rf.5e323488dbba2535937ae6d837831573.jpg,WhatsApp-Image-2024-05-04-at-6-00-50-PM_jpeg.rf.5e323488dbba2535937ae6d837831573.txt,1,1
valid,WhatsApp-Image-2024-05-04-at-6-01-22-PM_jpeg.rf.6e45a652a65410e6bdcc90e9808752f6.jpg,WhatsApp-Image-2024-05-04-at-6-01-22-PM_jpeg.rf.6e45a652a65410e6bdcc90e9808752f6.txt,1,1
valid,WhatsApp-Image-2024-05-04-at-6-01-49-PM_jpeg.rf.27843784f101304d69e06ed0b5cde4a7.jpg,WhatsApp-Image-2024-05-04-at-6-01-49-PM_jpeg.rf.27843784f101304d69e06ed0b5cde4a7.txt,1,1
valid,WhatsApp-Image-2024-05-04-at-6-29-22-PM_jpeg.rf.7e15c1479ad77d5ccd0edf3e6fe6c888.jpg,WhatsApp-Image-2024-05-04-at-6-29-22-PM_jpeg.rf.7e15c1479ad77d5ccd0edf3e6fe6c888.txt,1,3
valid,gambar-277-_jpg.rf.90386554e292540d34d36fe33ff5d117.jpg,gambar-277-_jpg.rf.90386554e292540d34d36fe33ff5d117.txt,1,1
valid,gambar-452-_jpg.rf.2186d7d75cf4a95a276c4822936021f7.jpg,gambar-452-_jpg.rf.2186d7d75cf4a95a276c4822936021f7.txt,1,1
